WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1970,3139.3228726318957,320.2150422476492,0.4728449071180803,0.07155880940488421,19.689539707236786,18.063098006885255,47.392785719899756,970,970,179.0545108100703,32.23723671226352,923018.8316407211,0.5853747029684938,0.3835616438356164,0.1095890410958904,0.2356164383561644,0.27123287671232876,0.0,0,0.25
1971,1881.0436962338129,275.9224808516464,0.5106163793792917,0.0786797246105035,19.69504752440986,18.063098006885255,47.912677116494855,970,970,179.0591169950414,27.79056150429594,840439.9047452837,0.5330034910865573,0.27945205479452057,0.19452054794520549,0.21095890410958903,0.3178082191780822,0.0,0,0.5
1972,1208.137555230546,229.3650854576809,0.514463654154423,0.10185150488371986,19.81649821696961,18.267157135465254,47.60575138742672,970,970,178.80411750791745,18.70504326496032,690972.4887737727,0.43821187771040887,0.1863013698630137,0.14794520547945206,0.23835616438356164,0.4273972602739726,0.0,0,0.9
1973,2840.311133494523,209.2745177174335,0.5279610373801357,0.059893135721796574,19.816353778321854,18.063098006885255,47.63393986200699,970,970,180.35647915046118,18.85765539175134,910835.5575966735,0.5776481212561348,0.40273972602739727,0.11506849315068493,0.1232876712328767,0.3589041095890411,0.0,0,0.30000000000000004
1974,5415.424041152379,220.53049583159046,0.4760289697735415,0.044596193389459776,19.792507760348105,18.063098006885255,47.13884670698616,970,970,180.35647915046118,21.171768785840214,948960.4488327906,0.6018267686661534,0.4438356164383562,0.057534246575342465,0.21643835616438356,0.2821917808219178,0.0,0,0.2
1975,5434.01921081911,239.64129376144416,0.4590193879920451,0.04428936946776511,19.776771459913626,18.063098006885255,47.81242924031929,970,970,180.48375109265086,22.20142677441464,922259.558157312,0.58489317488414,0.38904109589041097,0.11506849315068493,0.22465753424657534,0.273972602739726,0.0,0,0.25
1976,2831.488197054909,335.4728177879068,0.4269559258036981,0.07638560997449591,19.687307638122803,18.063098006885255,47.912677116494855,970,970,180.368942395693,34.229462419797194,940439.1069290537,0.5964225690823527,0.3780821917808219,0.1095890410958904,0.2684931506849315,0.24383561643835616,0.0,0,0.2
1977,6347.584761383252,273.7644374568714,0.4231192818227289,0.04428936946776511,19.689069560982077,18.063098006885255,47.30367732187066,970,970,179.0600566091468,28.20059131146857,1064820.8801586956,0.6753049721960271,0.5095890410958904,0.09863013698630137,0.20821917808219179,0.18356164383561643,0.0,0,0.0
1978,5326.301133333888,338.3210417029997,0.4433177093614922,0.05538552789548173,19.6848639640858,18.063098006885255,47.81242924031929,970,970,179.18657003151097,33.36218170055849,1042336.7328055014,0.6610456194859852,0.4438356164383562,0.15616438356164383,0.3232876712328767,0.07671232876712329,0.0,0,0.05
1979,3067.825784637742,311.8155700798613,0.4447319276810018,0.06242462564829359,19.68547858863158,18.063098006885255,47.531576324757964,970,970,179.10741686764896,30.240183085812106,1012118.1061955623,0.6418810922092607,0.4547945205479452,0.10684931506849316,0.2136986301369863,0.2273972602739726,0.0,0,0.1
