MonthId,Year,Month,Days,DateStart,WaterYear,WaterMonth,Flow_min,Flow_mean,Flow_median,Flow_max,Volume,Flow_range
2000.02,2000,2,29,2000-02-01,1999,5,503.8109936463658,707.1119578238224,681.2923781877481,837.3198580283489,1.7717397215233694,333.50886438198313
2000.03,2000,3,31,2000-03-01,1999,6,837.3198580283489,1254.9160054759786,982.9675729087244,2767.095916118245,3.361167029066861,1929.7760580898962
2000.04,2000,4,30,2000-04-01,1999,7,2591.615251359695,3052.8326545740315,3003.117066954125,3398.6474445108133,7.912942240655889,807.0321931511185
2000.05,2000,5,31,2000-05-01,1999,8,1596.4694806731984,2128.595258090947,2158.0871320686115,2569.1180080295453,5.701229539270792,972.6485273563469
2000.06,2000,6,30,2000-06-01,1999,9,605.2826340182633,1072.1584991223401,1061.8280199944343,1571.3541916645695,2.7790348297251053,966.0715576463062
2000.07,2000,7,31,2000-07-01,1999,10,353.0832823919162,452.6873511127058,433.1034795686549,595.7587939324907,1.2124778012202713,242.67551154057446
2000.08,2000,8,31,2000-08-01,1999,11,259.5218715197314,298.52028408254097,299.06699818423675,346.80417719075626,0.7995567288866777,87.28230567102486
2000.09,2000,9,30,2000-09-01,1999,12,197.8839798091028,225.6935535690931,222.4157896210202,257.65686952714265,0.5849976908510893,59.772889718039835
2000.1,2000,10,31,2000-10-01,2000,1,144.0183802374555,162.1059073990998,159.45130860447807,190.79401409479215,0.4341844623777489,46.77563385733666
2000.11,2000,11,30,2000-11-01,2000,2,139.07325151308405,170.72456953192898,167.62171979897016,234.7361724523628,0.44251808422676,95.66292093927876
2000.12,2000,12,31,2000-12-01,2000,3,242.533081960103,340.7482037215636,340.80926979478375,470.8324271216175,0.9126599888478358,228.2993451615145
2001.01,2001,1,31,2001-01-01,2000,4,475.55286143892266,618.4180538005286,593.1913139639889,819.2191307353338,1.656370915299336,343.66626929641114
2001.02,2001,2,28,2001-02-01,2000,5,846.6750263238312,1143.3911516694714,1014.1972417158227,2007.375964301728,2.766091874118785,1160.7009379778967
2001.03,2001,3,31,2001-03-01,2000,6,2115.233634614965,2915.8352471432017,3062.38230113231,3287.939464808906,7.809773125948352,1172.705830193941
2001.04,2001,4,30,2001-04-01,2000,7,3036.224863941812,3300.4382606344157,3218.7902344434897,3713.533519600189,8.554735971564405,677.3086556583767
2001.05,2001,5,31,2001-05-01,2000,8,2299.7987667924585,3016.705737179545,3036.224863941812,3678.196686098173,8.079944646461692,1378.3979193057144
2001.06,2001,6,30,2001-06-01,2000,9,1030.678775275673,1619.1667969402886,1591.8654302310665,2279.3526508989507,4.196880337669228,1248.6738756232778
2001.07,2001,7,31,2001-07-01,2000,10,475.55286143892266,700.0392743685613,659.858239189131,1003.2110657091912,1.8749851924687546,527.6582042702685
2001.08,2001,8,31,2001-08-01,2000,11,336.9714761305935,399.26933661464,395.8054643784339,470.8324271216175,1.0694029911886518,133.86095099102403
2001.09,2001,9,30,2001-09-01,2000,12,242.533081960103,287.4382942071136,290.82212701813904,334.52754855871035,0.7450400585848385,91.99446659860735
2001.1,2001,10,31,2001-10-01,2001,1,200.08712330781785,213.444074826452,208.8639372840476,239.65240649787216,0.5716886100151691,39.565283190054316
2001.11,2001,11,30,2001-11-01,2001,2,209.4099983200698,284.02639428746454,274.1022263478848,376.5579225570637,0.7361964139931081,167.1479242369939
2001.12,2001,12,31,2001-12-01,2001,3,380.6079050669756,421.04451134474397,419.19501466813807,466.89581654886194,1.127725619185762,86.28791148188634
2002.01,2002,1,31,2002-01-01,2001,4,479.1173358450076,557.8552088687495,570.047558363407,607.4170586651945,1.4941593914340585,128.29972282018696
2002.02,2002,2,28,2002-02-01,2001,5,625.4724227664398,729.8509509473997,708.9942916685266,868.9062798752734,1.7656554205319495,243.43385710883365
2002.03,2002,3,31,2002-03-01,2001,6,868.9062798752734,1244.0192103874256,1202.401547509544,1596.8022456762617,3.3319810531016807,727.8959658009883
2002.04,2002,4,30,2002-04-01,2001,7,1612.4980265712,1774.2908687665717,1763.12555457513,1925.1236222033149,4.598961931842954,312.62559563211494
